Boosted Post,Campaign Id,Campaign Name,Content Theme,Platform,Post Date,Post Time,Post Type,Target Audience,Clicks,Conversion Value Usd,Conversions,Cpc Usd,Ctr,Emoji Count,Engagement Rate,Engagements,Hashtag Count,Impressions,Reach,Sentiment Score,Spend Usd,Video Length Seconds,Word Count
真,CMP1007,Summer Campaign 2024,Promotion,Facebook,2024/8/19,1899/12/30 19:15:00,Image,"Gen X (35-50, Mixed)",204,732,26,0.45,0.0233,1,0.0452,312,0,8771,6906,0.72,91.55,0,36
真,CMP1007,Spring Campaign 2024,Behind-the-Scenes,X,2024/8/8,1899/12/30 15:00:00,Carousel,"Professionals (25-54, B2B)",302,3700.1,41,0.51,0.0317,4,0.0975,691,11,9512,7084,-0.72,153.27,0,11
伪,CMP1007,Spring Campaign 2025,Promotion,TikTok,2024/8/7,1899/12/30 23:00:00,Story,"Millennials (25-34, Suburban)",54,109.82,7,0.06,0.0151,0,0.0309,93,10,3574,3006,0.65,3.13,73,34
伪,CMP1007,Spring Campaign 2024,Behind-the-Scenes,TikTok,2024/8/12,1899/12/30 13:15:00,Story,"Millennials (25-34, Suburban)",198,667.01,20,0.04,0.0223,6,0.0772,459,2,8898,5945,-0.63,8.59,67,39
真,CMP1007,Back to School Campaign 2024,Behind-the-Scenes,X,2024/8/16,1899/12/30 9:00:00,Carousel,"Gen Z (18-24, Urban)",561,10044.61,86,0.64,0.0166,10,0.0502,1428,9,33893,28457,-0.02,358.71,0,20
真,CMP1007,Summer Campaign 2024,Promotion,X,2024/8/12,1899/12/30 16:15:00,Story,"Gen X (35-50, Mixed)",414,3886.36,43,0.13,0.04,7,0.0933,815,14,10354,8736,1,52.23,105,23
真,CMP1007,Back to School Campaign 2024,Promotion,Instagram,2024/8/18,1899/12/30 22:00:00,Video,"Parents (30-45, Suburban)",60,285.8,4,0.13,0.0088,6,0.0473,193,4,6794,4082,0.31,7.97,99,42
真,CMP1007,Back to School Campaign 2025,User Testimonial,X,2024/8/2,1899/12/30 8:15:00,Reel,"Gen Z (18-24, Urban)",203,292.34,13,0.37,0.0206,9,0.0506,443,7,9859,8763,1,75.4,96,14
伪,CMP1007,Fall Campaign 2024,Lifestyle,X,2024/8/4,1899/12/30 21:45:00,Image,"Millennials (25-34, Suburban)",38,569.16,7,0.08,0.0058,10,0.0233,94,1,6545,4029,0.58,3.16,0,17
伪,CMP1007,Back to School Campaign 2025,User Testimonial,TikTok,2024/8/23,1899/12/30 14:30:00,Story,"Gen X (35-50, Mixed)",76,425.3,9,0.06,0.0179,9,0.0693,213,10,4256,3073,0.93,4.45,53,14
伪,CMP1007,Spring Campaign 2025,Promotion,TikTok,2024/8/8,1899/12/30 14:45:00,Story,"Millennials (25-34, Suburban)",142,101.93,9,0.04,0.0164,7,0.0481,312,1,8681,6484,0.4,6.32,109,26
伪,CMP1007,Holiday Campaign 2025,Lifestyle,LinkedIn,2024/8/21,1899/12/30 15:30:00,Carousel,"Parents (30-45, Suburban)",11,0,0,0.05,0.0122,4,0.0504,35,7,901,694,0.38,0.51,0,10
真,CMP1007,Spring Campaign 2025,Product Launch,TikTok,2024/8/11,1899/12/30 8:00:00,Image,"Gen X (35-50, Mixed)",218,2971.48,21,0.06,0.0331,5,0.1056,625,3,6581,5920,-0.19,13.52,0,15
真,CMP1007,Back to School Campaign 2024,Lifestyle,Instagram,2024/8/3,1899/12/30 16:00:00,Reel,"Professionals (25-54, B2B)",390,6997.47,48,0.14,0.0409,6,0.0906,600,7,9527,6619,0.27,55.9,96,31
真,CMP1007,Holiday Campaign 2025,Product Launch,TikTok,2024/8/27,1899/12/30 8:15:00,Reel,"Parents (30-45, Suburban)",361,275.89,22,0.08,0.0352,10,0.0966,672,13,10242,6957,-0.47,29.33,46,11
伪,CMP1007,Summer Campaign 2025,Product Launch,TikTok,2024/8/14,1899/12/30 16:00:00,Image,"Gen Z (18-24, Urban)",478,6340.6,45,0,0.0565,1,0.1132,696,4,8457,6149,0.78,1.11,0,11
真,CMP1007,Spring Campaign 2025,Behind-the-Scenes,TikTok,2024/8/5,1899/12/30 7:00:00,Reel,"Gen Z (18-24, Urban)",221,1994.01,22,0.01,0.0327,7,0.0828,343,12,6755,4143,0.01,2.2,105,41
伪,CMP1007,Spring Campaign 2024,Lifestyle,Instagram,2024/8/22,1899/12/30 18:45:00,Image,"Parents (30-45, Suburban)",167,1446.3,11,0.23,0.0205,5,0.042,272,13,8151,6471,-0.18,37.81,0,18
真,CMP1008,Summer Campaign 2025,User Testimonial,LinkedIn,2024/9/18,1899/12/30 23:15:00,Video,"Gen X (35-50, Mixed)",128,862.32,8,0.17,0.0311,2,0.0753,273,14,4113,3625,-0.1,21.49,64,48
真,CMP1008,Summer Campaign 2024,Lifestyle,Facebook,2024/9/23,1899/12/30 6:00:00,Video,"Professionals (25-54, B2B)",58,1242.3,9,0.01,0.0315,5,0.0835,124,14,1842,1485,-0.64,0.56,57,32
真,CMP1008,Spring Campaign 2025,User Testimonial,Instagram,2024/9/5,1899/12/30 12:15:00,Reel,"Millennials (25-34, Suburban)",119,265.01,18,0.03,0.0147,4,0.047,253,6,8089,5387,0.33,3.33,71,46
真,CMP1008,Summer Campaign 2024,Promotion,TikTok,2024/9/6,1899/12/30 19:30:00,Image,"Parents (30-45, Suburban)",228,1365.71,23,0.02,0.0355,6,0.0641,344,8,6427,5364,-0.43,4.44,0,32
真,CMP1008,Fall Campaign 2024,Promotion,Facebook,2024/9/10,1899/12/30 14:00:00,Image,"Millennials (25-34, Suburban)",58,355.38,8,0.27,0.0055,3,0.0245,178,0,10528,7276,0.76,15.54,0,12
真,CMP1008,Fall Campaign 2025,Behind-the-Scenes,TikTok,2024/9/16,1899/12/30 9:00:00,Image,"Gen Z (18-24, Urban)",60,270.88,11,0.02,0.0069,5,0.0285,195,3,8742,6849,0.49,1.23,0,29
真,CMP1008,Spring Campaign 2024,Behind-the-Scenes,TikTok,2024/9/27,1899/12/30 15:45:00,Carousel,"Gen X (35-50, Mixed)",132,336.94,7,0.72,0.0355,5,0.1153,264,12,3717,2290,0.75,95.17,0,40
真,CMP1008,Holiday Campaign 2025,Product Launch,LinkedIn,2024/9/19,1899/12/30 13:15:00,Story,"Parents (30-45, Suburban)",179,3735.23,25,0.16,0.0203,5,0.0897,559,14,8803,6232,-0.25,28.52,11,32
伪,CMP1008,Summer Campaign 2025,Behind-the-Scenes,LinkedIn,2024/9/9,1899/12/30 8:00:00,Carousel,"Professionals (25-54, B2B)",63,390.94,8,0.12,0.0431,5,0.0936,108,14,1463,1154,-0.12,7.38,0,32
伪,CMP1008,Fall Campaign 2024,Promotion,X,2024/9/3,1899/12/30 12:30:00,Video,"Gen X (35-50, Mixed)",113,1995.16,17,0.01,0.0216,1,0.0501,191,2,5238,3810,1,1.41,11,6
真,CMP1008,Spring Campaign 2025,Behind-the-Scenes,Instagram,2024/9/10,1899/12/30 11:30:00,Carousel,"Gen X (35-50, Mixed)",66,291.22,4,0.27,0.0259,7,0.0906,189,9,2547,2087,0.49,18.1,0,49
真,CMP1008,Holiday Campaign 2025,Product Launch,Facebook,2024/9/3,1899/12/30 6:15:00,Carousel,"Professionals (25-54, B2B)",369,8313.26,56,0.23,0.0265,6,0.078,846,12,13949,10846,0.09,83.85,0,41
真,CMP1008,Holiday Campaign 2024,User Testimonial,Instagram,2024/9/20,1899/12/30 19:45:00,Carousel,"Gen X (35-50, Mixed)",39,797.9,7,1.12,0.0091,5,0.0289,104,14,4274,3601,-0.58,43.77,0,10
真,CMP1008,Spring Campaign 2025,User Testimonial,LinkedIn,2024/9/26,1899/12/30 15:15:00,Story,"Gen Z (18-24, Urban)",167,1405.23,12,0.21,0.0352,8,0.0718,268,10,4749,3735,-0.23,34.83,95,48
真,CMP1008,Summer Campaign 2024,Promotion,X,2024/9/12,1899/12/30 13:15:00,Story,"Professionals (25-54, B2B)",152,625.99,17,0.05,0.015,1,0.0512,365,4,10121,7127,0.33,6.87,62,21
真,CMP1008,Back to School Campaign 2024,User Testimonial,Facebook,2024/9/8,1899/12/30 12:30:00,Video,"Parents (30-45, Suburban)",88,498.03,6,0.25,0.0282,2,0.0923,178,14,3125,1928,0.39,21.94,12,36
真,CMP1008,Holiday Campaign 2024,Promotion,X,2024/9/13,1899/12/30 20:45:00,Video,"Parents (30-45, Suburban)",89,602.61,11,0.01,0.0148,5,0.0746,295,0,6018,3956,0.38,1.18,7,42
伪,CMP1008,Summer Campaign 2025,User Testimonial,Facebook,2024/9/19,1899/12/30 20:15:00,Carousel,"Parents (30-45, Suburban)",4,0,0,0.34,0.0074,7,0.0232,9,2,537,388,0.48,1.37,0,50
真,CMP1008,Holiday Campaign 2024,User Testimonial,TikTok,2024/9/7,1899/12/30 18:00:00,Story,"Parents (30-45, Suburban)",119,455.61,16,0.01,0.0221,10,0.1014,359,13,5396,3541,0,1,119,45
真,CMP1008,Spring Campaign 2025,Promotion,TikTok,2024/9/25,1899/12/30 19:00:00,Reel,"Millennials (25-34, Suburban)",199,1120.62,28,0.3,0.0142,8,0.0255,303,8,14020,11886,0.52,59.21,7,34
真,CMP1008,Holiday Campaign 2025,Lifestyle,X,2024/9/22,1899/12/30 22:30:00,Story,"Gen X (35-50, Mixed)",395,4147.32,36,0.18,0.0286,7,0.0598,577,3,13801,9649,-0.24,69.38,97,39
真,CMP1008,Back to School Campaign 2025,Behind-the-Scenes,X,2024/9/14,1899/12/30 12:30:00,Video,"Gen X (35-50, Mixed)",289,673.5,19,0.05,0.0363,3,0.0673,455,0,7969,6757,1,14.57,27,39
真,CMP1008,Back to School Campaign 2025,Lifestyle,X,2024/9/10,1899/12/30 9:45:00,Reel,"Gen Z (18-24, Urban)",150,1044.01,14,0.35,0.0162,10,0.0319,246,11,9281,7710,0.18,52.07,104,17
伪,CMP1008,Spring Campaign 2025,Lifestyle,Instagram,2024/9/1,1899/12/30 14:45:00,Carousel,"Gen Z (18-24, Urban)",493,2073.63,47,0,0.0516,10,0.0974,731,14,9562,7504,-0.19,0.02,0,43
真,CMP1008,Summer Campaign 2024,Product Launch,LinkedIn,2024/9/17,1899/12/30 18:00:00,Video,"Professionals (25-54, B2B)",167,1984.89,30,0.08,0.0369,6,0.1054,390,6,4520,3700,-0.08,12.59,18,30
伪,CMP1008,Holiday Campaign 2025,Lifestyle,Facebook,2024/9/4,1899/12/30 17:00:00,Image,"Millennials (25-34, Suburban)",9,10.79,1,0.77,0.0128,3,0.035,20,8,704,572,-0.32,6.89,0,41
伪,CMP1008,Fall Campaign 2024,User Testimonial,TikTok,2024/9/24,1899/12/30 7:00:00,Image,"Millennials (25-34, Suburban)",67,1412.91,10,0.17,0.0135,4,0.0526,175,15,4955,3329,0.55,11.55,0,49
真,CMP1008,Fall Campaign 2024,Behind-the-Scenes,TikTok,2024/9/26,1899/12/30 8:30:00,Reel,"Professionals (25-54, B2B)",156,3583.6,25,0.12,0.0189,0,0.0596,438,15,8256,7352,-0.05,19.14,23,6
真,CMP1008,Summer Campaign 2025,User Testimonial,X,2024/9/17,1899/12/30 15:45:00,Image,"Professionals (25-54, B2B)",354,6262.9,61,0.08,0.0313,1,0.1132,793,3,11295,7008,0.49,26.84,0,25
真,CMP1008,Holiday Campaign 2024,Behind-the-Scenes,Instagram,2024/9/26,1899/12/30 7:15:00,Reel,"Millennials (25-34, Suburban)",153,486.15,8,0.37,0.0345,9,0.1071,332,2,4438,3099,0.36,56.29,51,44
真,CMP1008,Holiday Campaign 2024,Product Launch,LinkedIn,2024/9/1,1899/12/30 13:30:00,Reel,"Millennials (25-34, Suburban)",381,6659.68,48,0.02,0.0424,4,0.1025,814,12,8985,7938,-0.28,7.95,65,23
真,CMP1008,Back to School Campaign 2025,Promotion,X,2024/9/20,1899/12/30 21:15:00,Reel,"Gen X (35-50, Mixed)",381,6189.8,42,0.18,0.026,2,0.0558,611,7,14682,10946,1,70.41,48,9
真,CMP1008,Back to School Campaign 2025,Lifestyle,LinkedIn,2024/9/1,1899/12/30 12:45:00,Image,"Parents (30-45, Suburban)",164,2100.48,17,0.02,0.0236,8,0.0504,284,6,6940,5636,0.52,3.54,0,6
伪,CMP1008,Spring Campaign 2024,Product Launch,Instagram,2024/9/17,1899/12/30 7:30:00,Reel,"Millennials (25-34, Suburban)",135,624.86,17,0.06,0.0134,4,0.0319,253,15,10080,7926,-0.13,8.35,91,46
伪,CMP1008,Back to School Campaign 2024,Lifestyle,Facebook,2024/9/8,1899/12/30 14:15:00,Video,"Professionals (25-54, B2B)",291,1696.05,20,0.07,0.0422,9,0.0987,497,1,6899,5034,0.15,20.41,11,50
真,CMP1008,Fall Campaign 2024,Promotion,LinkedIn,2024/9/8,1899/12/30 7:45:00,Carousel,"Millennials (25-34, Suburban)",43,270.12,6,0.53,0.018,10,0.0522,87,9,2388,1668,-0.01,22.71,0,39
伪,CMP1008,Fall Campaign 2025,User Testimonial,TikTok,2024/9/2,1899/12/30 12:15:00,Story,"Parents (30-45, Suburban)",598,1115.31,89,0,0.0683,3,0.1199,927,1,8755,7734,0.01,0.7,73,31
伪,CMP1008,Holiday Campaign 2024,Product Launch,X,2024/9/25,1899/12/30 14:30:00,Image,"Professionals (25-54, B2B)",255,1725.75,37,0,0.0303,9,0.1153,609,2,8411,5283,0.29,0.37,0,19
真,CMP1008,Back to School Campaign 2024,Product Launch,TikTok,2024/9/3,1899/12/30 18:15:00,Video,"Professionals (25-54, B2B)",97,355.01,9,0.31,0.0076,9,0.0288,320,2,12792,11119,0.46,29.59,112,11
伪,CMP1008,Back to School Campaign 2025,User Testimonial,X,2024/9/26,1899/12/30 22:30:00,Video,"Gen X (35-50, Mixed)",83,795.41,9,0.01,0.0211,3,0.0605,214,12,3933,3535,0.03,0.76,6,50
真,CMP1008,Spring Campaign 2025,Behind-the-Scenes,X,2024/9/12,1899/12/30 15:00:00,Story,"Gen Z (18-24, Urban)",167,502.89,10,0.15,0.0502,6,0.0936,268,14,3324,2863,0.53,25.13,48,24
真,CMP1008,Back to School Campaign 2025,Behind-the-Scenes,Instagram,2024/9/21,1899/12/30 11:45:00,Video,"Gen X (35-50, Mixed)",25,309.08,4,0.63,0.0126,8,0.0687,82,9,1980,1194,-0.24,15.75,62,15
真,CMP1008,Summer Campaign 2024,User Testimonial,LinkedIn,2024/9/13,1899/12/30 15:45:00,Image,"Parents (30-45, Suburban)",187,4421.06,32,0,0.0306,0,0.0619,328,11,6119,5297,0.41,0.83,0,10
伪,CMP1008,Back to School Campaign 2025,Promotion,LinkedIn,2024/9/6,1899/12/30 14:00:00,Reel,"Professionals (25-54, B2B)",61,820.23,10,0.07,0.0141,6,0.0304,115,0,4334,3781,-0.17,4.34,36,14
真,CMP1008,Back to School Campaign 2025,Promotion,Instagram,2024/9/1,1899/12/30 22:15:00,Story,"Gen Z (18-24, Urban)",184,1114.1,11,0.36,0.022,7,0.0475,313,3,8373,6583,-0.34,67.11,72,9
伪,CMP1008,Fall Campaign 2025,Product Launch,Instagram,2024/9/12,1899/12/30 9:45:00,Carousel,"Millennials (25-34, Suburban)",45,700.75,8,0.27,0.0109,7,0.0421,143,2,4116,3400,0.73,11.93,0,50
真,CMP1008,Summer Campaign 2024,Lifestyle,LinkedIn,2024/9/27,1899/12/30 21:45:00,Image,"Parents (30-45, Suburban)",82,574.25,9,0.06,0.0316,9,0.0677,156,0,2595,2304,0.19,4.62,0,11
真,CMP1008,Spring Campaign 2024,Behind-the-Scenes,Facebook,2024/9/1,1899/12/30 8:45:00,Carousel,"Gen X (35-50, Mixed)",43,366.91,5,2,0.0063,5,0.0228,122,5,6875,5348,-0.01,86.11,0,38
真,CMP1008,Back to School Campaign 2024,Promotion,Facebook,2024/9/25,1899/12/30 14:45:00,Story,"Gen Z (18-24, Urban)",122,709.33,19,0.89,0.0229,1,0.0653,213,3,5333,3260,0.74,108.07,25,40
真,CMP1008,Back to School Campaign 2025,Product Launch,X,2024/9/6,1899/12/30 17:45:00,Video,"Professionals (25-54, B2B)",104,1996.99,16,0.08,0.0147,3,0.0516,308,5,7062,5969,0.07,8.63,97,13
真,CMP1008,Spring Campaign 2024,Promotion,TikTok,2024/9/23,1899/12/30 17:00:00,Story,"Gen X (35-50, Mixed)",303,7111.33,48,0.26,0.0184,2,0.0722,807,8,16500,11180,-0.47,79.52,88,24
真,CMP1008,Back to School Campaign 2025,Promotion,LinkedIn,2024/9/4,1899/12/30 17:00:00,Image,"Gen Z (18-24, Urban)",262,3844.45,32,0.13,0.0365,2,0.0776,436,5,7184,5618,0.18,34.06,0,42
真,CMP1008,Spring Campaign 2025,User Testimonial,TikTok,2024/9/4,1899/12/30 16:45:00,Image,"Professionals (25-54, B2B)",140,762.88,7,0.06,0.0316,7,0.106,377,7,4425,3556,0.3,8.32,0,35
伪,CMP1008,Fall Campaign 2025,Product Launch,LinkedIn,2024/9/9,1899/12/30 9:15:00,Carousel,"Parents (30-45, Suburban)",215,764.23,17,0,0.0278,9,0.0785,424,3,7737,5403,0.15,0.54,0,48
真,CMP1008,Back to School Campaign 2024,Lifestyle,Facebook,2024/9/17,1899/12/30 8:30:00,Carousel,"Gen X (35-50, Mixed)",93,871.66,8,0.02,0.018,10,0.0339,149,9,5154,4400,0.01,1.4,0,41
真,CMP1008,Fall Campaign 2024,Behind-the-Scenes,TikTok,2024/9/12,1899/12/30 12:15:00,Image,"Millennials (25-34, Suburban)",98,605.74,7,0.09,0.0101,7,0.0436,274,11,9719,6280,0.19,9.11,0,41
伪,CMP1008,Back to School Campaign 2024,Lifestyle,Facebook,2024/9/3,1899/12/30 14:30:00,Video,"Professionals (25-54, B2B)",90,923.37,13,0.13,0.018,7,0.0527,205,9,4997,3887,-0.97,11.47,41,34
伪,CMP1008,Fall Campaign 2025,Behind-the-Scenes,LinkedIn,2024/9/3,1899/12/30 23:15:00,Video,"Millennials (25-34, Suburban)",48,910.08,8,0.03,0.009,4,0.0287,122,6,5357,4250,0.23,1.3,58,33
真,CMP1008,Back to School Campaign 2024,User Testimonial,X,2024/9/4,1899/12/30 16:15:00,Carousel,"Professionals (25-54, B2B)",165,2192.3,23,0.03,0.0282,1,0.0841,424,0,5850,5044,0.01,5.56,0,40
真,CMP1008,Spring Campaign 2025,Promotion,LinkedIn,2024/9/21,1899/12/30 23:45:00,Story,"Gen Z (18-24, Urban)",60,52.34,3,0,0.0223,8,0.087,158,12,2696,1817,0.21,0.07,85,38
伪,CMP1008,Fall Campaign 2025,Behind-the-Scenes,Facebook,2024/9/15,1899/12/30 12:30:00,Video,"Gen Z (18-24, Urban)",21,110,3,0.01,0.0171,1,0.0511,40,15,1229,783,0.03,0.18,88,41
真,CMP1008,Summer Campaign 2025,Product Launch,X,2024/9/14,1899/12/30 10:30:00,Reel,"Gen X (35-50, Mixed)",46,81.71,5,1.04,0.0109,2,0.0513,133,5,4207,2592,-0.53,47.82,58,41
真,CMP1008,Summer Campaign 2024,Behind-the-Scenes,Facebook,2024/9/6,1899/12/30 17:15:00,Video,"Millennials (25-34, Suburban)",261,3249.91,49,0.68,0.0201,5,0.0683,706,7,12991,10330,0.06,178.49,87,32
真,CMP1008,Spring Campaign 2025,Product Launch,Instagram,2024/9/11,1899/12/30 14:45:00,Image,"Parents (30-45, Suburban)",10,119.98,1,0.76,0.0111,6,0.0439,31,4,899,706,0.35,7.56,0,10
真,CMP1008,Summer Campaign 2024,Promotion,Facebook,2024/9/28,1899/12/30 8:30:00,Story,"Gen Z (18-24, Urban)",58,1088.16,10,0.01,0.0423,2,0.0983,98,13,1372,997,0.44,0.42,66,16
伪,CMP1008,Summer Campaign 2025,User Testimonial,TikTok,2024/9/27,1899/12/30 11:00:00,Image,"Millennials (25-34, Suburban)",176,3699.18,26,0.02,0.0374,7,0.073,309,11,4710,4233,1,3.4,0,39
伪,CMP1008,Fall Campaign 2024,Product Launch,LinkedIn,2024/9/25,1899/12/30 12:15:00,Reel,"Professionals (25-54, B2B)",75,423.8,4,0.1,0.0104,7,0.029,187,4,7218,6447,-0.42,7.37,115,20
伪,CMP1008,Holiday Campaign 2025,Product Launch,Instagram,2024/9/14,1899/12/30 18:30:00,Story,"Professionals (25-54, B2B)",82,1124.93,11,0.23,0.0161,8,0.0347,151,0,5108,4356,0.77,18.6,106,8
真,CMP1008,Back to School Campaign 2024,Promotion,LinkedIn,2024/9/25,1899/12/30 14:15:00,Story,"Parents (30-45, Suburban)",114,1070.63,13,0.22,0.0299,0,0.065,166,7,3811,2555,0.71,25.57,15,46
真,CMP1008,Spring Campaign 2025,User Testimonial,LinkedIn,2024/9/9,1899/12/30 12:45:00,Reel,"Professionals (25-54, B2B)",152,681.95,12,0.37,0.0334,4,0.0707,265,3,4545,3750,0.78,55.61,92,28
真,CMP1008,Holiday Campaign 2024,Lifestyle,Instagram,2024/9/15,1899/12/30 13:00:00,Carousel,"Gen X (35-50, Mixed)",51,414.44,7,0.48,0.0094,10,0.0424,145,4,5421,3419,-0.25,24.29,0,43
真,CMP1008,Spring Campaign 2024,Lifestyle,TikTok,2024/9/14,1899/12/30 8:15:00,Video,"Professionals (25-54, B2B)",92,598.9,16,0.92,0.0186,3,0.0478,208,7,4936,4351,-0.03,85.02,77,24
真,CMP1008,Summer Campaign 2024,User Testimonial,LinkedIn,2024/9/12,1899/12/30 13:15:00,Carousel,"Professionals (25-54, B2B)",322,8365.02,59,0.19,0.0254,9,0.0962,821,6,12691,8533,0.54,60.44,0,38
真,CMP1008,Summer Campaign 2024,Product Launch,TikTok,2024/9/27,1899/12/30 22:15:00,Carousel,"Millennials (25-34, Suburban)",89,283.45,8,0.11,0.0307,9,0.072,160,2,2902,2223,1,10.11,0,30
真,CMP1008,Fall Campaign 2025,User Testimonial,X,2024/9/21,1899/12/30 18:45:00,Image,"Gen Z (18-24, Urban)",122,426.95,24,0.29,0.0183,3,0.0552,289,11,6681,5239,0.05,35.11,0,31
真,CMP1008,Fall Campaign 2025,Behind-the-Scenes,X,2024/9/25,1899/12/30 17:45:00,Reel,"Parents (30-45, Suburban)",344,1446.77,48,0.01,0.0428,5,0.0827,573,11,8043,6926,-0.07,4.11,81,31
真,CMP1008,Summer Campaign 2024,Behind-the-Scenes,Facebook,2024/9/11,1899/12/30 19:45:00,Story,"Gen X (35-50, Mixed)",54,327.94,3,0.43,0.0136,10,0.0293,99,6,3958,3375,0.8,23.16,13,41
真,CMP1008,Back to School Campaign 2025,Lifestyle,Instagram,2024/9/18,1899/12/30 6:45:00,Reel,"Parents (30-45, Suburban)",138,3516.74,25,0.33,0.0118,7,0.0508,452,14,11657,8903,-0.16,45.46,102,14
真,CMP1008,Holiday Campaign 2025,Lifestyle,TikTok,2024/9/5,1899/12/30 11:15:00,Video,"Millennials (25-34, Suburban)",203,2846.99,28,0.77,0.015,5,0.031,347,15,13493,11183,0.44,155.71,84,31
真,CMP1008,Holiday Campaign 2025,Promotion,Facebook,2024/9/19,1899/12/30 18:45:00,Carousel,"Gen X (35-50, Mixed)",290,2780.18,19,0.05,0.0313,6,0.0862,518,14,9269,6007,-0.73,13.66,0,33
伪,CMP1008,Spring Campaign 2024,Product Launch,LinkedIn,2024/9/23,1899/12/30 10:45:00,Video,"Gen Z (18-24, Urban)",115,874.9,21,0.04,0.0137,6,0.0365,208,8,8407,5702,1,4.68,11,36
伪,CMP1008,Back to School Campaign 2025,Product Launch,Facebook,2024/9/28,1899/12/30 12:45:00,Story,"Professionals (25-54, B2B)",68,1087.85,11,0.02,0.0249,4,0.0453,106,0,2730,2340,0.49,1.52,94,6
真,CMP1008,Holiday Campaign 2024,Behind-the-Scenes,X,2024/9/9,1899/12/30 22:00:00,Carousel,"Gen X (35-50, Mixed)",370,2878.94,24,0.34,0.0288,5,0.0654,638,11,12844,9761,0.17,124.32,0,20
伪,CMP1008,Back to School Campaign 2025,Lifestyle,X,2024/9/28,1899/12/30 10:30:00,Story,"Gen Z (18-24, Urban)",350,2815.36,56,0.03,0.036,8,0.1111,767,4,9735,6901,0.41,11.4,108,13
真,CMP1008,Spring Campaign 2024,Product Launch,Instagram,2024/9/12,1899/12/30 21:15:00,Video,"Parents (30-45, Suburban)",124,523.31,12,0.23,0.0316,0,0.1069,292,13,3919,2732,-0.71,28.57,35,10
真,CMP1008,Summer Campaign 2024,Promotion,TikTok,2024/9/8,1899/12/30 19:45:00,Story,"Gen Z (18-24, Urban)",93,1210.24,10,0.51,0.0157,2,0.0361,187,2,5913,5177,-0.04,47.6,5,10
真,CMP1008,Back to School Campaign 2025,Lifestyle,TikTok,2024/9/14,1899/12/30 7:30:00,Image,"Professionals (25-54, B2B)",228,650.57,15,0.19,0.0283,3,0.0777,395,9,8049,5086,-0.65,43.89,0,18
真,CMP1008,Holiday Campaign 2024,Product Launch,Facebook,2024/9/7,1899/12/30 23:15:00,Reel,"Parents (30-45, Suburban)",562,8691.27,108,0.05,0.0601,2,0.1089,834,7,9352,7655,-0.26,27.07,85,31
真,CMP1009,Fall Campaign 2024,User Testimonial,Instagram,2024/10/10,1899/12/30 20:30:00,Story,"Gen X (35-50, Mixed)",98,1466.75,19,0.08,0.0389,9,0.0832,182,9,2520,2188,-0.27,8.2,44,29
伪,CMP1009,Holiday Campaign 2025,Product Launch,TikTok,2024/10/19,1899/12/30 23:15:00,Video,"Parents (30-45, Suburban)",324,296.38,18,0,0.0404,10,0.0932,474,13,8010,5087,-0.7,0.78,107,47
真,CMP1009,Spring Campaign 2024,User Testimonial,TikTok,2024/10/20,1899/12/30 9:45:00,Reel,"Professionals (25-54, B2B)",177,1670.41,24,0.16,0.0273,7,0.0737,294,15,6473,3991,-0.05,27.69,39,13
真,CMP1009,Back to School Campaign 2024,Lifestyle,Instagram,2024/10/25,1899/12/30 16:15:00,Carousel,"Parents (30-45, Suburban)",223,1069.71,25,0.47,0.0295,9,0.0536,350,6,7556,6524,0.37,104.22,0,26
伪,CMP1009,Holiday Campaign 2025,Promotion,TikTok,2024/10/16,1899/12/30 9:45:00,Carousel,"Gen Z (18-24, Urban)",17,127.12,2,0.13,0.0372,10,0.0831,26,4,457,313,0.44,2.27,0,44
真,CMP1009,Spring Campaign 2024,Promotion,X,2024/10/13,1899/12/30 18:15:00,Carousel,"Gen X (35-50, Mixed)",291,608.88,16,0.01,0.0298,6,0.0655,450,5,9770,6873,0.7,3.12,0,15
伪,CMP1009,Spring Campaign 2025,User Testimonial,Facebook,2024/10/27,1899/12/30 6:30:00,Story,"Professionals (25-54, B2B)",63,455.88,7,0.01,0.0105,7,0.033,126,0,6019,3816,-0.21,0.49,74,9
真,CMP1009,Spring Campaign 2025,Product Launch,LinkedIn,2024/10/27,1899/12/30 13:30:00,Reel,"Professionals (25-54, B2B)",217,4030.43,36,0.04,0.026,9,0.0652,452,5,8334,6934,-0.99,9.23,105,18
伪,CMP1009,Back to School Campaign 2025,Lifestyle,LinkedIn,2024/10/13,1899/12/30 9:15:00,Video,"Millennials (25-34, Suburban)",296,1789.36,23,0.04,0.0297,6,0.1068,691,12,9981,6473,0.5,11.18,21,43
真,CMP1009,Holiday Campaign 2024,Product Launch,LinkedIn,2024/10/28,1899/12/30 15:00:00,Reel,"Gen Z (18-24, Urban)",112,2692.14,20,0.35,0.012,1,0.0319,194,3,9306,6076,-0.63,39.68,33,39
伪,CMP1009,Back to School Campaign 2024,Behind-the-Scenes,LinkedIn,2024/10/10,1899/12/30 16:00:00,Carousel,"Professionals (25-54, B2B)",124,2074.37,16,0.07,0.0141,9,0.0492,268,4,8787,5443,-0.38,8.42,0,14
伪,CMP1009,Holiday Campaign 2024,User Testimonial,Instagram,2024/10/23,1899/12/30 15:00:00,Carousel,"Professionals (25-54, B2B)",32,189.44,2,0.29,0.0081,2,0.0332,105,6,3967,3164,0.05,9.34,0,30
